"chicagoDH","word","n","total","tf","idf","tf_idf"
"c10","convinced",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","coverage",1,1031,0.000969932104752667,1.6094379124341,0.00156104550187595
"c10","covering",1,1031,0.000969932104752667,1.6094379124341,0.00156104550187595
"c10","critical",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","cuts",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","cutting",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","cycle",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","daily",1,1031,0.000969932104752667,0.916290731874155,0.000888739798132061
"c10","damaging",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","deck",1,1031,0.000969932104752667,1.6094379124341,0.00156104550187595
"c10","defining",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","demand",1,1031,0.000969932104752667,1.20397280432594,0.00116777187616483
"c10","democrats",1,1031,0.000969932104752667,0.916290731874155,0.000888739798132061
"c10","devastated",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","differences",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","director",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","disagreement",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","divide",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","dorian",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","doubt",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","driving",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","duty",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","electricity",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","emergency",1,1031,0.000969932104752667,1.6094379124341,0.00156104550187595
"c10","eradicated",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","existential",1,1031,0.000969932104752667,1.6094379124341,0.00156104550187595
"c10","finally",1,1031,0.000969932104752667,1.6094379124341,0.00156104550187595
"c10","flood",1,1031,0.000969932104752667,1.20397280432594,0.00116777187616483
"c10","forests",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","founder",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","galvanized",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","generational",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","government's",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","guardian",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","hands",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","happening",1,1031,0.000969932104752667,1.20397280432594,0.00116777187616483
"c10","happy",1,1031,0.000969932104752667,1.6094379124341,0.00156104550187595
"c10","herald's",1,1031,0.000969932104752667,1.6094379124341,0.00156104550187595
"c10","hits",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","hurricane",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","hurricanes",1,1031,0.000969932104752667,0.693147180559945,0.000672305703743885
"c10","ideological",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","implications",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","increased",1,1031,0.000969932104752667,0.916290731874155,0.000888739798132061
"c10","industry",1,1031,0.000969932104752667,1.6094379124341,0.00156104550187595
"c10","insurgent",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","intended",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","leading",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","lingering",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","main",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","majority",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","mode",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","nations",1,1031,0.000969932104752667,0.510825623765991,0.000495466172420942
"c10","nonexistent",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","olds",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","originally",1,1031,0.000969932104752667,1.6094379124341,0.00156104550187595
"c10","outlets",1,1031,0.000969932104752667,1.6094379124341,0.00156104550187595
"c10","partnership",1,1031,0.000969932104752667,1.6094379124341,0.00156104550187595
"c10","passively",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","personal",1,1031,0.000969932104752667,1.6094379124341,0.00156104550187595
"c10","planet",1,1031,0.000969932104752667,0.693147180559945,0.000672305703743885
"c10","plans",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","policies",1,1031,0.000969932104752667,1.6094379124341,0.00156104550187595
"c10","polled",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","polls",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","pollution",1,1031,0.000969932104752667,1.20397280432594,0.00116777187616483
"c10","poses",1,1031,0.000969932104752667,1.6094379124341,0.00156104550187595
"c10","power",1,1031,0.000969932104752667,1.6094379124341,0.00156104550187595
"c10","powered",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","presidential",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","previous",1,1031,0.000969932104752667,1.6094379124341,0.00156104550187595
"c10","primarily",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","priority",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","program",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","progress",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","promoted",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","proposed",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","protect",1,1031,0.000969932104752667,1.20397280432594,0.00116777187616483
"c10","psychologist",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","public",1,1031,0.000969932104752667,1.20397280432594,0.00116777187616483
"c10","quo",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","raising",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","reduce",1,1031,0.000969932104752667,1.6094379124341,0.00156104550187595
"c10","refusing",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","regulations",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","rejecting",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","relationship",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","remains",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","remodeling",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","renewable",1,1031,0.000969932104752667,1.20397280432594,0.00116777187616483
"c10","repeatedly",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","republished",1,1031,0.000969932104752667,1.6094379124341,0.00156104550187595
"c10","responsibility",1,1031,0.000969932104752667,1.6094379124341,0.00156104550187595
"c10","responsible",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","restoring",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","reverse",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","running",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","sanders",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","schools",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","sept",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","shaped",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","sharp",1,1031,0.000969932104752667,1.6094379124341,0.00156104550187595
"c10","skepticism",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","solar",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","sow",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","spearheaded",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","split",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","spreading",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","standing",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","starker",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","started",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","status",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","strengthen",1,1031,0.000969932104752667,1.6094379124341,0.00156104550187595
"c10","stuck",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","substantial",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","summers",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","summit",1,1031,0.000969932104752667,0.916290731874155,0.000888739798132061
"c10","supportive",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","swedish",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","sweeping",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","tackling",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","taught",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","taxes",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
"c10","teenager",1,1031,0.000969932104752667,2.30258509299405,0.00223335120561983
